angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
85,resampled_image,random,adam,8,0.637255,0.109733,0.631053,0.100246,0.156709,0.113338,6.35755,4.60593
85,resampled_image,random,gd,8,0.374472,0.118295,0.378728,0.124055,0.0578483,0.0146407,2.34392,0.593258
90,rotated_directions,full_image,adam,8,0.0165296,0.0144104,0.0164171,0.0142638,0.00364607,0.00448327,0.147718,0.181637
90,rotated_directions,full_image,gd,8,0.0408909,0.0397538,0.0407428,0.0395748,0.00873443,0.0131123,0.353875,0.531251
90,rotated_directions,random,adam,8,0.599678,0.0868644,0.609377,0.100014,0.159831,0.0931487,6.48285,3.78748
90,rotated_directions,random,gd,8,0.387247,0.116228,0.390465,0.122141,0.0506183,0.0313268,2.05098,1.26947
90,resampled_image,full_image,adam,8,0.0196131,0.0145245,0.0194986,0.0144609,0.00429408,0.00365234,0.173972,0.147972
90,resampled_image,full_image,gd,8,0.0240716,0.0145059,0.0240104,0.0144089,0.00409521,0.00319322,0.165914,0.129371
90,resampled_image,random,adam,8,0.656136,0.119058,0.659289,0.127948,0.193958,0.104252,7.86879,4.23462
90,resampled_image,random,gd,8,0.368587,0.126858,0.369839,0.131811,0.0821685,0.0584364,3.3303,2.37019
95,rotated_directions,full_image,adam,8,0.454313,0.0748718,0.444182,0.0653405,0.106201,0.0525679,4.30447,2.13253
95,rotated_directions,full_image,gd,8,0.0436245,0.0317653,0.0433554,0.0315071,0.00676528,0.00652506,0.275165,0.263584
95,rotated_directions,random,adam,8,0.653297,0.0884645,0.654043,0.0872345,0.137136,0.0869368,5.56127,3.53297
95,rotated_directions,random,gd,8,0.402542,0.126392,0.404386,0.137832,0.065256,0.0361601,2.64429,1.46535
95,resampled_image,full_image,adam,8,0.451764,0.0772043,0.442654,0.0652365,0.0975006,0.0484519,3.95159,1.96521
95,resampled_image,full_image,gd,8,0.15655,0.0572836,0.155792,0.056402,0.0247901,0.0129389,1.00451,0.524195
95,resampled_image,random,adam,8,0.630267,0.108206,0.634631,0.107861,0.152409,0.0741685,6.17968,3.01037
95,resampled_image,random,gd,8,0.399882,0.133522,0.402562,0.136324,0.0668477,0.0359695,2.70881,1.45794
